freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
1,1.9075126649214699430092105410637e-14,5.6806242383018646699372050165054e-13,-6.6164501552390863705164611648919e-13,-9.1531583560260216707976419045663e-13,3.5464061677454543411814250110834e-15,5.499269834691876244889087821947e-14,3.1602305691189292015784168264928e-10,-4.4212042883320285796254295044081e-11,-1.9176141806874767526320788254456e-10,-9.1656913835303905808377871652904e-11,-7.5768972960430216174410459256455e-10,-2.3006109824245506978062428379335e-11,3.9712628558375670947705177742022e-16,-5.5558491648974362949771015760743e-17,-2.4097450489869544531514154123953e-16,-1.1517947486228135429232389008357e-16,-9.5214099529012503958461381761662e-16,-2.8910330244611857020144351048954e-17
1,1.3691521006883115982447787420067e-16,6.2903898257209157987972113171949e-16,-7.1139541375346433985164941328444e-13,-1.7034748958722516252115663401251e-12,3.530401019961980413349488151238e-13,5.502692299215886464242939307853e-12,5.1526658520191231351613569554478e-10,-1.3119253560995798611770811786333e-11,-1.9394128578172330570311426105041e-10,-9.1165727675163481463808723706478e-11,-7.0771830204186369030766239838484e-10,-4.8298935341735850063122804217013e-11,6.4750308748425069406049427824706e-16,-1.6486140243122452978621592956294e-17,-2.4371380745584816990412737459212e-16,-1.1456223212938451776616063535004e-16,-8.8934504740230435903025244841823e-16,-6.0694232178322314201278769855117e-17
1,-1.8802873334848416016502675209602e-14,-5.6680097824487780463120172437606e-13,-7.7436991066227499813631094175745e-13,-2.418522221666475611530956013924e-12,3.5463685647793606416260791341306e-13,5.4992854630471875405645846230098e-12,6.8245243134502785844313437580788e-10,2.254286393825086652059439010228e-11,-1.9177559435728377161195884133044e-10,-9.1664791270830335158550919464552e-11,-6.0960705280310935293256454443802e-10,-6.7055906868506505155744091220972e-11,8.5759501789521278760821089850279e-16,2.8328198295713271963496433619811e-17,-2.4099231934826350588233339073956e-16,-1.1518937393971293085567850984944e-16,-7.6605481546510924852063391716561e-16,-8.4264937759160552058327302692962e-17
1,-4.9868211950698036061972790432488e-14,-4.9833456264827986593597773542648e-13,-7.6901749176185681300091328933438e-13,-2.1408090088114690477014786255287e-12,6.2535615258553164379295296841239e-15,4.8226359818598284702611790123541e-14,7.6029070140075455999610389283983e-10,-5.1079050467940971522185951137596e-11,-1.838576367878370634647383951023e-10,-6.6923117262617368496381535604352e-11,-4.7982175418711892546477365483165e-10,-8.4273600886552193189266944932814e-11,9.554094728452966202423895346919e-16,-6.4187827880970252535953329813672e-17,-2.3104232041561977881849585817145e-16,-8.4098069419026786501317727351279e-17,-6.0296179919472813679448568604176e-16,-1.0590133017470026070000945370478e-16
1,-7.215467971708525096188438912795e-14,-4.3278650762110994495627241191587e-13,-7.3857863445088361122617107137815e-13,-1.8425023825184506077475641214037e-12,8.0933648016807440435226550237427e-15,4.1684868635903539492474535349663e-14,7.8108610271675006166175734060014e-10,-1.0636849307986601296467335970734e-10,-1.7149529375993578467889224045396e-10,-4.6616938929056667463899778297567e-11,-3.3997618993724116993081055371315e-10,-1.0330340295234620363340912947735e-10,9.8154174484640981910131555107569e-16,-1.3366659057324952477706584949132e-16,-2.1550734200057508024455904507639e-16,-5.8580573148947391517727278003538e-17,-4.2722668028091400773688240494977e-16,-1.2981488472236678056591517333091e-16
1,-8.7258107132924481267407152060779e-14,-3.7169672082019275017021269683063e-13,-6.9019534636980213410715089281441e-13,-1.5452347368684156729248625988016e-12,9.2330281639229686067640849776658e-15,3.5552251621673185726828301793085e-14,7.5135680758224954036311708799193e-10,-1.4348502498311848860590083766053e-10,-1.5625547804476732392132461868804e-10,-3.0313801338986841704893345909831e-11,-2.1019539373672107615939618634643e-10,-1.2117290373936291386123871385047e-10,9.4418281077002998475643136938255e-16,-1.803086001548451825778738376953e-16,-1.9635642476344088086749413086266e-16,-3.8093446235576598553424351452605e-17,-2.6413932191267877019750103231327e-16,-1.5227036168069028759812011737651e-16
1,-9.6611359232449786482643556246491e-14,-3.1604021837333743076504347042619e-13,-6.305842958442463022273232357091e-13,-1.2663953847133025293315806107285e-12,9.8244979574883337026439734323188e-15,2.9956784359827647330258619190723e-14,6.8525540470027035310272101536295e-10,-1.6445034600303274547403052413037e-10,-1.3962907410475700467110770815069e-10,-1.7489811622943841750246829564995e-11,-1.0353434554562420127578476993006e-10,-1.3558364924983433458949285969528e-10,8.6111733809562791222439418151752e-16,-2.0665439955337090427226050169021e-16,-1.7546306937401977618437837092973e-16,-2.1978345482923899033806719410459e-17,-1.3010509574414405721627294971655e-16,-1.7037943857206993015847755780726e-16
1,-1.014560662124171618978684971122e-13,-2.6627428016262446797604856308191e-13,-5.654494603495809965993636725383e-13,-1.01725259991849647525085877258e-12,9.9997260255912666424394060741752e-15,2.4968285204291150267609734773217e-14,5.9884373705657414130796686161143e-10,-1.7235693037644709044619592832009e-10,-1.2283166747621182399555690716611e-10,-7.5978203169230637909130144241864e-12,-2.4958721443830389925072143711025e-11,-1.4524552891371768211362824499915e-10,7.5252923399407648552113603188238e-16,-2.1659010650637344953092215218989e-16,-1.5435482566858054914306189739822e-16,-9.5477025963763077396961876012054e-18,-3.1364054372372633933659114323919e-17,-1.8252091464083972913426640994957e-16
1,-1.0283758219047218229163502089716e-13,-2.2244395862717641947707208610541e-13,-4.9921546893592729755885200693696e-13,-8.0309290080416901936796564318492e-13,9.8689537021282998668281186935035e-15,2.0605456168716399511858634448085e-14,5.0590423154852171263203861826521e-10,-1.7058461904470330046693011973833e-10,-1.0672447655690052976929893779586e-10,-1.1759085459928800383427314234384e-13,2.67919395874504426748351289226e-11,-1.4983640331355149102862374396543e-10,6.3573800690113014593788548261044e-16,-2.1436295440250134971233558954484e-16,-1.3411393260374990745042598335765e-16,-1.4776902597538747894666738301535e-19,3.3667744233342342575612078318387e-17,-1.8828997755606829170005587855039e-16
1,-1.0161629110592961080804041734085e-13,-1.843058253777362498638689262822e-13,-4.3502900220131248720576984683815e-13,-6.245447734320577548353681633977e-13,9.5213629680979214843255213735431e-15,1.6848742218553375549609117642728e-14,4.1613002517465458197517560991684e-10,-1.6224629688732234566082325905229e-10,-9.1832224395351942047862304382809e-11,5.4149941083145081898365415087817e-12,5.6398604671486870532445913755694e-11,-1.4974483839534348307318295313352e-10,5.229244120107322155006869789434e-16,-2.0388470974934414279421958802178e-16,-1.1539977660929880583940597162321e-16,6.8046822839651484177839814612341e-18,7.0872576843463249419427779017409e-17,-1.8817491368632071867648485922164e-16
